numerical_notes_text,numerical_notes_summary,raga
"[0, 0, 0, 2, 2, 11, 2, 4, 7, 7, 7, 7, 7, 9, 9, 9, 11, 11, 11, 9, 9, 9, 9, 9, 9, 9, 9, 9, 11, 11, 11]","[0, 2, 4, 7, 9, 0, 11, 9]",Shankarabharanam
"[0, 0, 0, 2, 2, 4, 4, 4, 7, 7, 7, 9, 9, 11, 0, 0, 11, 11, 11, 9, 9, 9, 9, 9, 9, 9, 4, 11, 11, 11, 11]","[0, 2, 4, 7, 9, 0, 11, 9]",Shankarabharanam
"[0, 0, 0, 2, 2, 11, 2, 2, 7, 7, 9, 7, 9, 9, 0, 0, 11, 11, 11, 9, 9, 9, 9, 9, 9, 9, 9, 11, 11, 11, 11]","[0, 2, 4, 7, 9, 0, 11, 9]",Shankarabharanam
"[0, 0, 0, 2, 2, 11, 2, 4, 7, 7, 7, 7, 9, 9, 9, 9, 11, 11, 11, 9, 9, 9, 9, 9, 9, 9, 9, 9, 11, 11, 11]","[0, 2, 4, 7, 9, 0, 11, 9]",Shankarabharanam
"[0, 0, 0, 2, 2, 11, 2, 2, 7, 7, 9, 7, 9, 9, 0, 0, 11, 11, 11, 9, 9, 9, 9, 9, 9, 9, 9, 0, 0, 0, 0]","[0, 2, 4, 7, 9, 0, 11, 9]",Shankarabharanam
"[7, 7, 9, 9, 7, 7, 7, 5, 5, 4, 4, 4, 2, 2, 2, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0]","[7, 9, 7, 5, 4, 2, 0, 2]",Shankarabharanam
"[2, 7, 9, 9, 7, 7, 7, 5, 5, 4, 4, 4, 2, 2, 2, 0, 0, 0, 2, 2, 2, 2, 2, 2, 9, 2, 11, 11, 11]","[7, 9, 7, 5, 4, 2, 0, 2]",Shankarabharanam
"[0, 0, 11, 11, 11, 9, 9, 9, 0, 0, 0, 0, 0, 0, 2, 2, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 11, 11]","[7, 9, 7, 5, 4, 2, 0, 2]",Shankarabharanam
"[0, 0, 0, 0, 0, 9, 1, 9, 0, 0, 0, 0, 0, 2, 2, 4, 4, 4, 4, 7, 2, 7, 7, 7, 2, 11, 11, 11, 11]","[7, 9, 7, 5, 4, 2, 0, 2]",Shankarabharanam
"[2, 2, 9, 9, 7, 7, 7, 5, 5, 4, 4, 4, 2, 4, 2, 0, 0, 0, 2, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0]","[7, 9, 7, 5, 4, 2, 0, 2]",Shankarabharanam
"[0, 0, 0, 0, 0, 9, 1, 9, 0, 0, 0, 0, 0, 2, 2, 4, 4, 4, 4, 7, 7, 7, 11, 7, 2, 7, 11, 11, 11]","[0, 11, 9, 0, 0, 2, 4, 7]",Shankarabharanam
"[0, 0, 11, 0, 0, 9, 9, 9, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4, 7, 4, 7, 7, 0, 0, 0, 7, 11, 11, 11]","[0, 11, 9, 0, 0, 2, 4, 7]",Shankarabharanam
"[0, 0, 11, 11, 11, 9, 9, 9, 0, 0, 0, 0, 0, 0, 2, 2, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 11, 11]","[0, 11, 9, 0, 0, 2, 4, 7]",Shankarabharanam
"[0, 0, 0, 0, 0, 9, 1, 9, 0, 0, 0, 0, 0, 2, 2, 4, 4, 4, 4, 7, 2, 7, 7, 7, 2, 11, 11, 11, 11]","[0, 11, 9, 0, 0, 2, 4, 7]",Shankarabharanam
"[0, 0, 0, 0, 0, 9, 9, 9, 0, 0, 0, 0, 0, 2, 0, 2, 4, 4, 7, 4, 7, 7, 0, 0, 0, 0, 0, 0, 0]","[0, 11, 9, 0, 0, 2, 4, 7]",Shankarabharanam
"[5, 5, 4, 4, 4, 7, 7, 7, 7, 7, 2, 2, 0, 0, 2, 11, 11, 9, 9, 9, 9, 9, 9, 9, 9, 9, 0, 0, 0]","[5, 4, 7, 9, 2, 0, 11, 9]",Shankarabharanam
"[5, 5, 4, 5, 7, 7, 4, 9, 7, 7, 2, 2, 0, 2, 0, 11, 0, 9, 9, 9, 9, 9, 9, 9, 9, 9, 11, 11, 11]","[5, 4, 7, 9, 2, 0, 11, 9]",Shankarabharanam
"[5, 5, 4, 4, 4, 7, 7, 9, 7, 9, 2, 2, 0, 0, 0, 11, 11, 9, 9, 9, 9]","[5, 4, 7, 9, 2, 0, 11, 9]",Shankarabharanam
"[5, 5, 4, 4, 4, 7, 7, 7, 7, 7, 2, 2, 0, 2, 2, 11, 11, 9, 9, 9, 9, 9, 9, 9, 9, 11, 11, 11, 11]","[5, 4, 7, 9, 2, 0, 11, 9]",Shankarabharanam
"[5, 5, 5, 4, 5, 7, 4, 9, 7, 7, 2, 2, 0, 0, 0, 11, 0, 9, 9, 9, 9, 9, 9, 9, 9, 0, 0, 0, 0]","[5, 4, 7, 9, 2, 0, 11, 9]",Shankarabharanam
"[7, 7, 5, 5, 5, 4, 4, 2, 2, 6, 0, 0, 0, 2, 2, 2, 4, 6, 8, 4, 4, 4, 11, 4, 4, 11, 11, 11, 11, 11]","[7, 5, 4, 2, 0, 2, 4, 4]",Shankarabharanam
"[2, 7, 5, 5, 5, 4, 5, 2, 2, 2, 0, 0, 0, 2, 0, 2, 2, 11, 4, 4, 4, 11, 4, 4, 4, 4, 4, 11, 11, 11]","[7, 5, 4, 2, 0, 2, 4, 4]",Shankarabharanam
"[7, 7, 5, 5, 5, 4, 4, 2, 2, 2, 0, 0, 0, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 0, 11, 11, 11]","[7, 5, 4, 2, 0, 2, 4, 4]",Shankarabharanam
"[7, 7, 5, 5, 5, 4, 4, 2, 2, 2, 0, 0, 0, 2, 2, 2, 4, 6, 8, 4, 4, 4, 4, 4, 4, 4, 0, 11, 11, 11]","[7, 5, 4, 2, 0, 2, 4, 4]",Shankarabharanam
"[2, 2, 5, 5, 5, 4, 4, 2, 2, 2, 0, 0, 0, 2, 0, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 0, 0, 0]","[7, 5, 4, 2, 0, 2, 4, 4]",Shankarabharanam
"[4, 4, 2, 2, 4, 4, 8, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 0, 0]","[4, 2, 4, 7, 7, 7, 7, 7]",Shankarabharanam
"[4, 4, 2, 2, 4, 4, 2, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 0, 0, 7, 11, 11, 11]","[4, 2, 4, 7, 7, 7, 7, 7]",Shankarabharanam
"[4, 4, 2, 2, 2, 4, 4, 4, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 2, 2, 7, 7, 7, 7, 2, 7, 11, 11, 11]","[4, 2, 4, 7, 7, 7, 7, 7]",Shankarabharanam
"[4, 4, 2, 2, 4, 4, 8, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 11, 11]","[4, 2, 4, 7, 7, 7, 7, 7]",Shankarabharanam
"[4, 4, 2, 2, 4, 4, 4, 4, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0]","[4, 2, 4, 7, 7, 7, 7, 7]",Shankarabharanam
"[9, 9, 9, 7, 9, 7, 0, 0, 11, 0, 0, 0, 0, 0, 7, 0, 4, 4, 2, 2, 2, 2, 2, 9, 2, 9, 2, 11, 11, 11]","[9, 7, 0, 0, 0, 0, 4, 2]",Shankarabharanam
"[9, 9, 7, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 2, 2, 2, 2, 4, 2, 2, 2, 2, 11, 11, 11]","[9, 7, 0, 0, 0, 0, 4, 2]",Shankarabharanam
"[9, 9, 7, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 4, 4, 2, 2, 2, 2, 2, 2, 4, 2, 11, 11, 11, 11]","[9, 7, 0, 0, 0, 0, 4, 2]",Shankarabharanam
"[9, 9, 9, 7, 9, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 4, 4, 2, 2, 2, 2, 2, 2, 2, 0, 2, 11, 11, 11]","[9, 7, 0, 0, 0, 0, 4, 2]",Shankarabharanam
"[9, 9, 7, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 2, 2, 2, 2, 4, 2, 2, 2, 0, 0, 0, 0]","[9, 7, 0, 0, 0, 0, 4, 2]",Shankarabharanam
"[6, 6, 6, 8, 8, 8, 8, 10, 10, 10, 10, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 1, 6, 6, 6, 6, 7, 7, 7, 7, 8, 8, 8, 8, 10, 10, 10, 10, 10, 10, 10, 0, 11, 11, 11]","[6, 8, 10, 7, 6, 7, 8, 10]",Bhavapriya
"[1, 6, 6, 8, 8, 8, 8, 10, 10, 10, 10, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 8, 8, 8, 8, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11]","[6, 8, 10, 7, 6, 7, 8, 10]",Bhavapriya
"[6, 6, 6, 8, 8, 8, 8, 10, 10, 10, 10, 7, 7, 7, 7, 7, 7, 0, 1, 6, 6, 6, 6, 6, 6, 6, 0, 7, 7, 7, 7, 8, 8, 8, 8, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11]","[6, 8, 10, 7, 6, 7, 8, 10]",Bhavapriya
"[6, 6, 6, 8, 8, 8, 8, 10, 10, 10, 10, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 8, 8, 8, 8, 10, 10, 10, 10, 5, 10, 10, 0, 11, 11, 11]","[6, 8, 10, 7, 6, 7, 8, 10]",Bhavapriya
"[6, 6, 6, 8, 8, 8, 8, 10, 10, 10, 10, 7, 7, 7, 7, 7, 0, 0, 1, 6, 6, 6, 6, 6, 6, 6, 0, 7, 7, 7, 7, 8, 8, 8, 8, 10, 10, 10, 10, 10, 10, 0, 0, 0, 0, 0]","[6, 8, 10, 7, 6, 7, 8, 10]",Bhavapriya
"[1, 1, 1, 1, 3, 7, 7, 8, 8, 8, 6, 6, 6, 10, 10, 8, 8, 8, 7, 8, 7, 7, 7, 7, 2, 2, 11, 11, 11]","[1, 3, 7, 8, 6, 10, 8, 7]",Bhavapriya
"[1, 1, 1, 3, 10, 7, 7, 7, 7, 8, 6, 6, 6, 10, 10, 8, 8, 8, 7, 7, 7, 7, 7, 7, 2, 7, 11, 11, 11]","[1, 3, 7, 8, 6, 10, 8, 7]",Bhavapriya
"[1, 1, 1, 3, 3, 7, 2, 8, 8, 7, 6, 6, 6, 10, 10, 8, 8, 8, 7, 7, 7, 7, 7, 7, 0, 0, 0, 11, 11]","[1, 3, 7, 8, 6, 10, 8, 7]",Bhavapriya
"[1, 1, 1, 1, 3, 7, 7, 7, 8, 8, 6, 6, 6, 10, 10, 8, 8, 8, 7, 7, 2, 5, 7, 7, 7, 2, 11, 11, 11]","[1, 3, 7, 8, 6, 10, 8, 7]",Bhavapriya
"[1, 1, 1, 3, 3, 7, 2, 8, 8, 7, 6, 1, 6, 10, 10, 8, 8, 8, 7, 7, 7, 7, 7, 0, 0, 0, 0, 0, 0]","[1, 3, 7, 8, 6, 10, 8, 7]",Bhavapriya
"[0, 0, 0, 7, 7, 7, 6, 6, 6, 3, 10, 3, 8, 3, 8, 5, 1, 1, 10, 10, 10, 7, 7, 7, 7, 7, 7, 7, 7, 11, 11, 11]","[0, 7, 6, 3, 8, 1, 10, 7]",Bhavapriya
"[0, 0, 0, 7, 7, 7, 6, 6, 6, 3, 3, 3, 8, 3, 8, 8, 1, 1, 10, 10, 10, 7, 7, 7, 7, 7, 7, 7, 7, 11, 11, 11]","[0, 7, 6, 3, 8, 1, 10, 7]",Bhavapriya
"[0, 0, 0, 7, 7, 7, 6, 6, 6, 3, 3, 3, 8, 8, 2, 5, 1, 1, 10, 10, 10, 2, 7, 7, 7, 7, 0, 7, 7, 11, 11, 11]","[0, 7, 6, 3, 8, 1, 10, 7]",Bhavapriya
"[0, 0, 0, 0, 7, 7, 6, 6, 6, 10, 3, 3, 8, 8, 8, 1, 5, 1, 10, 10, 10, 7, 7, 7, 7, 7, 7, 7, 7, 11, 11, 11]","[0, 7, 6, 3, 8, 1, 10, 7]",Bhavapriya
"[0, 0, 0, 7, 7, 7, 1, 6, 6, 3, 3, 3, 8, 8, 2, 5, 1, 1, 10, 10, 10, 2, 7, 7, 7, 7, 0, 7, 7, 0, 0, 0]","[0, 7, 6, 3, 8, 1, 10, 7]",Bhavapriya
"[1, 1, 1, 0, 0, 0, 10, 10, 10, 8, 8, 8, 7, 2, 7, 7, 3, 11, 3, 0, 0, 0, 6, 6, 6, 6, 6, 6, 6, 11, 11, 11, 11]","[1, 0, 10, 8, 7, 3, 0, 6]",Bhavapriya
"[1, 1, 0, 0, 0, 0, 10, 10, 10, 8, 8, 8, 7, 2, 7, 3, 3, 10, 3, 0, 0, 0, 6, 6, 6, 1, 6, 6, 6, 11, 11, 11, 11]","[1, 0, 10, 8, 7, 3, 0, 6]",Bhavapriya
"[1, 1, 1, 0, 0, 1, 10, 10, 10, 8, 8, 8, 7, 7, 7, 3, 3, 3, 0, 0, 0, 0, 6, 6, 6, 6, 6, 0, 0, 6, 11, 11, 11]","[1, 0, 10, 8, 7, 3, 0, 6]",Bhavapriya
"[1, 1, 0, 0, 0, 4, 10, 10, 10, 8, 8, 8, 7, 7, 7, 3, 3, 3, 0, 0, 0, 0, 6, 6, 6, 6, 6, 6, 6, 6, 11, 11, 11]","[1, 0, 10, 8, 7, 3, 0, 6]",Bhavapriya
"[1, 1, 1, 0, 0, 1, 10, 10, 10, 8, 8, 8, 7, 7, 7, 3, 3, 3, 0, 0, 0, 0, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 0]","[1, 0, 10, 8, 7, 3, 0, 6]",Bhavapriya
"[0, 0, 0, 1, 1, 1, 3, 3, 3, 6, 6, 7, 7, 7, 7, 8, 8, 10, 10, 10, 0, 10, 0, 0, 0, 0, 7, 0, 11, 11, 11, 11]","[0, 1, 3, 6, 7, 8, 10, 0]",Bhavapriya
"[0, 0, 0, 1, 1, 1, 3, 3, 3, 6, 10, 7, 7, 7, 7, 8, 8, 10, 10, 10, 0, 0, 0, 7, 7, 0, 0, 0, 0, 11, 11, 11]","[0, 1, 3, 6, 7, 8, 10, 0]",Bhavapriya
"[0, 0, 0, 1, 1, 1, 3, 3, 3, 6, 6, 6, 7, 2, 8, 8, 8, 10, 10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 11]","[0, 1, 3, 6, 7, 8, 10, 0]",Bhavapriya
"[0, 0, 0, 1, 1, 1, 3, 3, 3, 6, 6, 7, 7, 7, 7, 8, 8, 10, 10, 10, 0, 10, 0, 0, 0, 0, 7, 0, 11, 11, 11, 11]","[0, 1, 3, 6, 7, 8, 10, 0]",Bhavapriya
"[0, 0, 0, 0, 1, 1, 3, 3, 3, 6, 6, 6, 7, 2, 8, 8, 8, 10, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 3, 6, 7, 8, 10, 0]",Bhavapriya
"[0, 0, 10, 10, 10, 8, 8, 3, 7, 8, 7, 6, 6, 6, 3, 10, 3, 1, 1, 1, 0, 0, 0, 0, 0, 4, 0, 11, 11, 11, 11]","[0, 10, 8, 7, 6, 3, 1, 0]",Bhavapriya
"[0, 0, 10, 10, 10, 8, 8, 8, 7, 7, 7, 6, 6, 6, 3, 3, 3, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11]","[0, 10, 8, 7, 6, 3, 1, 0]",Bhavapriya
"[0, 0, 10, 10, 10, 8, 8, 8, 7, 7, 7, 6, 6, 6, 3, 3, 3, 8, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11]","[0, 10, 8, 7, 6, 3, 1, 0]",Bhavapriya
"[0, 0, 10, 10, 10, 8, 8, 8, 7, 7, 7, 6, 6, 6, 3, 10, 3, 11, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 10, 8, 7, 6, 3, 1, 0]",Bhavapriya
"[0, 0, 10, 10, 10, 8, 8, 8, 2, 2, 7, 6, 6, 6, 3, 3, 3, 1, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 10, 8, 7, 6, 3, 1, 0]",Bhavapriya
"[0, 0, 0, 3, 10, 7, 7, 7, 8, 8, 8, 10, 10, 10, 0, 0, 0, 10, 10, 10, 10, 7, 7, 7, 7, 7, 7, 7, 11, 11, 11]","[0, 3, 7, 8, 10, 0, 10, 7]",Bhavapriya
"[0, 0, 0, 3, 10, 7, 7, 7, 8, 8, 8, 5, 10, 10, 0, 10, 0, 10, 10, 10, 7, 7, 7, 7, 7, 2, 7, 7, 0, 0, 0]","[0, 3, 7, 8, 10, 0, 10, 7]",Bhavapriya
"[0, 0, 0, 3, 3, 3, 7, 7, 8, 7, 8, 10, 10, 10, 0, 0, 0, 10, 10, 10, 7, 7, 7, 7, 7, 0, 0, 0, 11, 11, 11]","[0, 3, 7, 8, 10, 0, 10, 7]",Bhavapriya
"[0, 0, 0, 3, 3, 7, 2, 2, 8, 8, 8, 10, 10, 10, 0, 0, 0, 5, 10, 10, 7, 7, 7, 7, 7, 7, 7, 0, 11, 11, 11]","[0, 3, 7, 8, 10, 0, 10, 7]",Bhavapriya
"[0, 0, 3, 3, 3, 7, 7, 7, 8, 7, 8, 10, 10, 10, 0, 0, 0, 10, 10, 10, 7, 7, 7, 2, 7, 0, 0, 0, 0, 0, 0]","[0, 3, 7, 8, 10, 0, 10, 7]",Bhavapriya
"[0, 0, 0, 5, 5, 9, 9, 9, 9, 7, 2, 7, 7, 4, 4, 11, 11, 11, 2, 2, 2, 2, 2, 2, 6, 2, 11, 11, 11, 11]","[0, 5, 9, 7, 7, 4, 11, 2]",Shankarabharanam
"[0, 0, 0, 5, 5, 9, 9, 7, 7, 9, 2, 7, 7, 4, 4, 11, 11, 11, 2, 2, 2, 2, 2, 2, 8, 2, 11, 0, 11, 11]","[0, 5, 9, 7, 7, 4, 11, 2]",Shankarabharanam
"[0, 0, 0, 0, 0, 5, 9, 7, 7, 7, 7, 7, 7, 4, 4, 11, 11, 11, 2, 2, 9, 2, 2, 2, 9, 9, 9, 11, 11, 11]","[0, 5, 9, 7, 7, 4, 11, 2]",Shankarabharanam
"[0, 0, 0, 5, 5, 9, 5, 7, 7, 7, 7, 7, 7, 4, 4, 11, 11, 11, 2, 2, 2, 2, 2, 2, 0, 0, 11, 11, 11, 11]","[0, 5, 9, 7, 7, 4, 11, 2]",Shankarabharanam
"[0, 0, 0, 0, 0, 5, 9, 7, 7, 2, 7, 7, 7, 4, 4, 11, 11, 11, 2, 2, 9, 2, 2, 2, 9, 9, 0, 0, 0, 0]","[0, 5, 9, 7, 7, 4, 11, 2]",Shankarabharanam
"[7, 7, 7, 7, 4, 4, 5, 9, 9, 9, 9, 2, 2, 2, 2, 0, 0, 0, 11, 0, 11, 11, 11, 3, 11, 11, 11, 11, 11]","[7, 4, 5, 9, 2, 2, 0, 11]",Shankarabharanam
"[7, 7, 7, 7, 4, 4, 5, 9, 9, 9, 2, 2, 2, 2, 2, 0, 0, 0, 11, 0, 11, 11, 11, 3, 11, 11, 11, 11, 11]","[7, 4, 5, 9, 2, 2, 0, 11]",Shankarabharanam
"[2, 7, 4, 4, 4, 5, 5, 9, 9, 5, 9, 2, 2, 0, 2, 0, 0, 0, 11, 0, 11, 11, 11, 11, 11, 0, 11, 11, 11]","[7, 4, 5, 9, 2, 2, 0, 11]",Shankarabharanam
"[7, 7, 4, 4, 4, 5, 5, 5, 9, 4, 2, 2, 2, 2, 2, 0, 2, 0, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]","[7, 4, 5, 9, 2, 2, 0, 11]",Shankarabharanam
"[2, 2, 4, 4, 4, 5, 5, 8, 9, 9, 2, 2, 2, 0, 2, 0, 0, 0, 11, 0, 11, 11, 11, 11, 11, 0, 0, 0, 0]","[7, 4, 5, 9, 2, 2, 0, 11]",Shankarabharanam
"[0, 0, 7, 7, 7, 6, 6, 6, 8, 3, 7, 7, 7, 3, 3, 3, 6, 6, 6, 7, 7, 7, 7, 7, 2, 7, 7, 11, 11, 11]","[0, 7, 6, 8, 7, 3, 6, 7]",Bhavapriya
"[0, 0, 7, 7, 7, 6, 6, 6, 8, 3, 7, 7, 7, 3, 3, 3, 6, 6, 6, 6, 7, 7, 7, 7, 2, 7, 7, 11, 11, 11]","[0, 7, 6, 8, 7, 3, 6, 7]",Bhavapriya
"[0, 0, 7, 0, 7, 6, 6, 6, 8, 8, 2, 7, 7, 3, 3, 3, 6, 6, 6, 7, 6, 6, 0, 7, 0, 0, 0, 11, 11, 11]","[0, 7, 6, 8, 7, 3, 6, 7]",Bhavapriya
"[0, 0, 0, 7, 7, 6, 6, 6, 8, 8, 7, 7, 7, 3, 3, 3, 6, 6, 6, 6, 6, 7, 7, 6, 7, 7, 7, 11, 11, 11]","[0, 7, 6, 8, 7, 3, 6, 7]",Bhavapriya
"[0, 0, 0, 7, 7, 6, 6, 6, 8, 8, 2, 7, 7, 3, 3, 3, 6, 1, 6, 7, 6, 6, 0, 7, 0, 0, 0, 0, 0, 0]","[0, 7, 6, 8, 7, 3, 6, 7]",Bhavapriya
